emp_no,first_name,last_name,salary,from_date,to_date,title
10173,Shrikanth,Mahmud,85757,1992-03-21,1993-03-21,Senior Staff
10197,Kasidit,Krzyzanowski,40000,1994-06-28,1995-06-28,Engineer
10236,Susumu,Bade,80469,1996-08-30,1997-08-30,Staff
10419,Maria,Bauknecht,40569,1992-04-25,1993-04-25,Senior Staff
11595,Takanari,Kamber,68224,1992-09-08,1993-09-08,Senior Staff
11601,Erez,Ritzmann,40000,1991-03-07,1992-03-06,Senior Staff
11666,Uno,Chimia,69278,1992-04-25,1993-04-25,Senior Staff
11677,Shooichi,Luit,86658,1991-09-12,1992-09-11,Staff
11987,Vidya,Schaar,40000,1988-10-17,1989-10-17,Senior Staff
12668,Mari,Picht,73509,1992-08-02,1993-08-02,Senior Staff
12727,Uwe,Ranai,44137,1991-09-12,1992-09-11,Engineer
14007,Shiv,Jervis,76177,1988-10-17,1989-10-17,Senior Staff
14137,Takahito,Coors,69040,1989-12-17,1990-12-17,Senior Staff
14171,Gift,Garnham,77236,1989-05-06,1990-05-06,Engineer
14181,Persi,Gecsel,48774,1994-06-28,1995-06-28,Senior Staff
14498,Xiong,Selenyi,40000,1988-10-17,1989-10-17,Senior Staff
15214,Shahid,Bernatsky,57808,1992-04-25,1993-04-25,Senior Staff
15342,Gopalakrishnan,Osgood,58617,1992-04-25,1993-04-25,Senior Staff
16448,Tsvetan,Zwicker,76979,1992-04-25,1993-04-25,Engineer
16814,Abdulah,Waymire,50481,1991-10-01,1992-09-30,Engineer
16829,Pintsang,Collavizza,69422,1992-09-08,1993-09-08,Senior Staff
17726,Shaibal,Fritzsche,43982,1996-01-03,1997-01-02,Engineer
17747,Toshimitsu,Mapelli,40000,1991-09-12,1992-09-11,Senior Staff
17783,Adly,Haldar,49706,1992-08-02,1993-08-02,Senior Staff
18280,Filipe,Jakobus,46185,1988-10-17,1989-10-17,Engineer
18497,Yongmao,Marsiglia,40000,1992-08-02,1993-08-02,Assistant Engineer
19143,Byong,Swift,53287,1992-03-21,1993-03-21,Senior Staff
